id,genres
503,3
504,16
504,18
504,17
505,2
505,1
506,8
506,2
506,10
506,7
506,1
507,2
507,18
507,10
507,13
508,3
508,2
508,1
508,5
508,8
509,2
509,7
509,1
509,5
510,16
511,2
511,1
511,18
511,7
512,2
512,3
512,10
513,2
514,2
514,10
514,3
515,2
515,18
515,7
516,2
516,7
516,1
517,2
517,3
518,7
518,2
518,1
518,8
519,7
519,15
519,2
519,1
519,5
520,8
520,2
520,15
520,7
520,4
521,8
521,7
521,2
521,15
521,5
521,18
522,2
522,16
523,15
523,8
523,7
523,2
523,4
523,5
523,14
524,15
524,2
524,14
524,4
524,11
524,5
524,8
525,2
525,18
525,1
526,5
526,15
526,7
526,6
527,7
527,1
527,2
528,1
528,16
529,2
529,13
529,18
529,16
529,6
530,7
530,1
530,2
530,13
530,10
531,2
531,18
532,1
532,18
532,16
533,3
533,2
533,4
533,15
534,2
535,3
535,10
535,2
536,3
536,2
537,8
537,2
537,4
537,7
537,15
538,7
538,2
538,18
538,6
539,2
540,10
540,2
541,3
541,2
542,16
542,1
542,9
543,16
544,2
544,18
545,7
545,1
545,2
546,2
546,9
546,3
547,9
547,2
548,16
549,2
549,3
549,10
550,2
550,3
550,18
551,2
551,7
552,2
552,1
552,7
553,16
554,13
554,1
554,2
554,7
555,7
555,13
555,2
555,8
555,15
555,6
556,3
556,2
556,10
557,2
557,18
558,16
558,18
559,2
559,18
559,8
560,16
560,1
560,18
561,1
561,16
562,4
562,2
562,14
562,10
562,6
563,8
563,2
563,1
563,3
564,3
564,11
564,14
564,6
565,16
566,3
567,7
567,2
567,16
568,2
568,3
569,16
570,16
570,2
570,18
570,13
570,8
571,2
571,3
571,1
571,10
572,2
572,18
573,3
573,2
573,10
574,2
574,1
574,7
575,2
575,8
575,3
576,2
576,10
577,16
577,9
578,3
579,1
579,16
580,2
580,17
581,16
581,1
581,17
582,3
582,2
583,3
583,2
583,10
584,16
585,2
585,6
586,16
586,18
587,2
588,2
588,3
589,2
589,3
