title,type,release_year,mpa_rating,runtime,seasons,imdb_id,imdb_score,imdb_votes
Kapoor & Sons,MOVIE,2016,PG_13,132,,tt4900716,7.7,25792
Mucize,MOVIE,2015,PG_13,136,,tt6876670,7.7,12395
The Heirs,MOVIE,2015,NOT_RATED,71,,tt2903370,5.7,224
Tamasha,MOVIE,2015,PG,139,,tt3148502,7.4,26790
Udta Punjab,MOVIE,2016,R,148,,tt4434004,7.8,29819
Pyaar Ka Punchnama 2,MOVIE,2015,PG_13,159,,tt4430136,7.3,14968
Raman Raghav 2.0,MOVIE,2016,NOT_RATED,134,,tt5662932,7.4,14380
Talvar,MOVIE,2015,PG,132,,tt4934950,8.1,34659
Dil Dhadakne Do,MOVIE,2015,PG_13,170,,tt4110568,7.0,17149
Wazir,MOVIE,2016,PG_13,103,,tt0315642,7.2,18681
Ludo,MOVIE,2015,NOT_RATED,90,,tt3724898,2.8,825
Gabbar Is Back,MOVIE,2015,PG_13,130,,tt2424988,7.2,24676
Te3n,MOVIE,2016,PG_13,136,,tt4814290,7.3,12816
Ozark,SHOW,2017,TV_MA,60,4.0,tt5071412,8.5,278223
Derry Girls,SHOW,2018,TV_MA,25,3.0,tt7120662,8.4,28718
The Sinner,SHOW,2017,TV_MA,45,4.0,tt6048596,7.9,117055
Blade Runner 2049,MOVIE,2017,R,164,,tt1856101,8.0,539864
Dark,SHOW,2017,TV_MA,56,3.0,tt5753856,8.7,354443
Sorry to Bother You,MOVIE,2018,R,111,,tt5688932,6.9,75653
Dunkirk,MOVIE,2017,PG_13,107,,tt5013056,7.8,619645
Wind River,MOVIE,2017,R,106,,tt6185846,7.7,240408
Molly's Game,MOVIE,2017,R,140,,tt4209788,7.4,165817
Mindhunter,SHOW,2017,TV_MA,53,2.0,tt5290382,8.6,261429
Den of Thieves,MOVIE,2018,R,140,,tt1259528,7.0,107701
Phantom Thread,MOVIE,2017,R,130,,tt5776858,7.4,128600
Cobra Kai,SHOW,2018,TV_14,31,5.0,tt7221388,8.6,163858
You,SHOW,2018,TV_MA,47,3.0,tt7335184,7.7,225949
Money Heist,SHOW,2017,TV_MA,50,5.0,tt6468322,8.3,450797
Lady Bird,MOVIE,2017,R,94,,tt4925292,7.4,277165
Good Girls,SHOW,2018,TV_14,42,4.0,tt6474378,7.7,49867
Bodyguard,SHOW,2018,TV_MA,60,2.0,tt7493974,8.1,114446
Altered Carbon,SHOW,2018,TV_MA,52,2.0,tt2261227,7.9,162018
Maniac,SHOW,2018,TV_MA,39,1.0,tt5580146,7.7,74877
Darkest Hour,MOVIE,2017,PG_13,125,,tt4555426,7.4,193208
Babylon Berlin,SHOW,2017,TV_MA,49,4.0,tt4378376,8.4,23256
The Haunting of Hill House,SHOW,2018,TV_MA,58,1.0,tt6763664,8.6,226817
HAPPY!,SHOW,2017,TV_MA,43,2.0,tt2452242,8.1,37747
Workin' Moms,SHOW,2017,TV_MA,22,6.0,tt6143796,7.8,14892
The Nightingale,MOVIE,2018,R,136,,tt4068576,7.3,28196
Wild Wild Country,SHOW,2018,TV_MA,67,1.0,tt7768848,8.1,29298
Big Mouth,SHOW,2017,TV_MA,27,6.0,tt6524350,7.9,74660
The Disaster Artist,MOVIE,2017,R,104,,tt3521126,7.3,149604
